SessionID,Category,Grammar_Element,HighLevelObject,FileType,Total_Object_Count,Count_Converted_LOC,Count_Not_Converted_LOC,Count_Conversion_Errors,Count_Parsing_Errors
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Comparison Operators and Functions,=,CREATE TABLE,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Comparison Operators and Functions,=,CREATE / REPLACE VIEW,SQL,4,7,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,String Operators and Functions,||,CREATE TABLE,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Manipulation Language Statements,ACCESS,CREATE / REPLACE VIEW,SQL,2,0,2,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",ALL,CREATE / REPLACE VIEW,SQL,3,0,3,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,avg,CREATE / REPLACE VIEW,SQL,7,7,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,BEGIN,CREATE / REPLACE VIEW,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,BYTEINT,CREATE TABLE,SQL,21,21,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CHARACTER SET,CREATE TABLE,SQL,141,141,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CHECK,CREATE TABLE,SQL,6,6,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CHECKSUM,CREATE TABLE,SQL,36,36,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,COMPRESS,CREATE TABLE,SQL,28,28,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CREATE / REPLACE VIEW,CREATE / REPLACE VIEW,SQL,12,123,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CREATE MULTISET TABLE,CREATE TABLE,SQL,11,11,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CREATE SET TABLE,CREATE TABLE,SQL,25,25,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Table Statements,CREATE TABLE,CREATE TABLE,SQL,39,648,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Definition Statements,CREATE VOLATILE TABLE,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,DATE,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,DATE,CREATE TABLE,SQL,26,0,26,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,DECIMAL,CREATE TABLE,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Manipulation Language Statements,DESC,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Manipulation Language Statements,DESC,CREATE TABLE,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Function,EXTRACT,CREATE TABLE,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Attribute Functions,FORMAT,CREATE TABLE,SQL,26,26,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE TABLE,SQL,2,4,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",FROM,CREATE / REPLACE VIEW,SQL,14,21,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,"SELECT statement syntax, options, clauses, modifiers",GROUP BY,CREATE / REPLACE VIEW,SQL,1,5,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTEGER,CREATE TABLE,SQL,90,90,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL DAY,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL DAY,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL DAY TO HOUR,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL DAY TO MINUTE,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL DAY TO SECOND,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL HOUR,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL HOUR TO MINUTE,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL HOUR TO MINUTE,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL HOUR TO SECOND,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL HOUR TO SECOND,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL MINUTE,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL MINUTE TO SECOND,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL MONTH,CREATE TABLE,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL MONTH,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL SECOND,CREATE TABLE,SQL,1,1,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL YEAR,CREATE TABLE,SQL,2,2,0,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL YEAR,CREATE / REPLACE VIEW,SQL,1,0,1,0,0
c5d8513f-cf71-4baa-a0eb-8a3a80763536,Data Type,INTERVAL YEAR TO MONTH,CREATE TABLE,SQL,1,1,0,0,0
